ID,Company,Count,Address,City,County,State,Zip,Manager,"Recent Activity"
22475,"Highmark Residential",2,"10015 Parthenon Ct",Charlotte,"Mecklenburg County",NC,28262,"Jacob Withers",2023-05-01T19:26:23+00:00
24043,"Fort Mill School District",16,"2233 Deerfield Dr.","Fort Mill","York County",SC,29715,"Mike Kennedy",2023-05-01T19:06:59+00:00
146597,"Kite Realty",16,"30 S Meridian St",Indianapolis,"Marion County",IN,46204,"John Hedrick",2023-05-01T18:59:25+00:00
23906,"City of Charlotte",54,"PO BOX 37979",Charlotte,"Mecklenburg County",NC,28237,"Dan Davis",2023-05-01T18:56:34+00:00
24497,"Stream Realty",25,"10101 Claude Freeman Drive",Charlotte,"Mecklenburg County",NC,28262,"John Hedrick",2023-05-01T18:27:59+00:00
250087,Trane,1,"4500 Morris Field Dr",Charlotte,"Mecklenburg County",NC,28208,"Mike Kennedy",2023-05-01T18:17:25+00:00
24255,"CBC Meca",29,"2320 W Morehead St. 2nd floor",Charlotte,"Mecklenburg County",NC,28208,"Mike Kennedy",2023-05-01T18:07:13+00:00
24395,"Rivercrest Realty Investors",37,"8816 Six Forks Road",Raleigh,"Wake County",NC,27615,"Dan Davis",2023-05-01T18:02:38+00:00
24564,"Vantage Realty",69,"10612  D Providence Road",Charlotte,"Mecklenburg County",NC,28277,"John Hedrick",2023-05-01T17:20:39+00:00
24249,"McCrory Building LLC",1,"135 East Main Street","Rock Hill","York County",SC,29730,"Dan Davis",2023-05-01T17:08:19+00:00
23864,"Carolina Kids Dentistry",1,"5829 Phyliss Lane","Mint Hill","Mecklenburg County",NC,28227,,2023-05-01T17:07:05+00:00
24514,"The Crown Companies, LLC",9,"121 North Crutchfield St",Dobson,"Surry County",NC,27017,"Jacob Withers",2023-05-01T17:01:27+00:00
281328,OPW,1,"9393 Princeton Glendale Rd",Hamilton,"Butler County",OH,45011,"Rich Kryhoski",2023-05-01T15:22:34+00:00
23877,"Celgard, LLC",4,"13800 South Lakes Dr.",Charlotte,"Mecklenburg County",NC,28273,"Dan Davis",2023-05-01T13:52:37+00:00
23456,"Garland Co",84,"3800 E 91st St",Cleveland,"Cuyahoga County",OH,44105,"John Hedrick",2023-05-01T13:52:13+00:00
246343,"Jones Property Management",3,"6025 S Main St",Salisbury,"Rowan County",NC,28147,"John Hedrick",2023-05-01T13:51:45+00:00
24484,"Spectrum Properties Management",13,"13801 Reese Boulevard Suite 300",Huntersville,"Mecklenburg County",NC,28078,"Jacob Withers",2023-05-01T13:11:45+00:00
59740,"Management South Inc",4,"1850 E 3rd St",Charlotte,"Mecklenburg County",NC,28204,"Jacob Withers",2023-05-01T13:10:26+00:00
23847,"CAMS Management",135,"1515 Mockingbird Lane Ste 600",Charlotte,"Mecklenburg County",NC,28209,"John Hedrick",2023-05-01T13:08:44+00:00
23912,"Clear Creek Brothers Management, LLC",22,"101 East Matthews Street",Matthews,"Mecklenburg County",NC,28105,"Dan Davis",2023-05-01T13:07:59+00:00
235468,"JR Vannoy Construction",2,"4024 Revolution Pk Dr",Charlotte,"Mecklenburg County",NC,28217,"Dan Davis",2023-05-01T12:05:27+00:00
24462,"Simon Property Group",9,"225 W Washington St",Indianapolis,,IN,46204,"Dan Davis",2023-05-01T11:58:15+00:00
291636,"Fox Sports",1,"1220 W W.T.Harris Blvd",Charlotte,"Mecklenburg County",NC,28262,"John Hedrick",2023-05-01T11:35:47+00:00
24217,"Lincoln Harris Atrium Health",53,"9401 Arrowpoint Boulevard",Charlotte,"Mecklenburg County",NC,28273,"John Hedrick",2023-05-01T11:24:28+00:00
151997,"Charlotte Catholic High School",1,"7702 Pineville-Matthews Rd",Charlotte,"Mecklenburg County",NC,28226,,2023-05-01T10:57:54+00:00
23812,"Bell Partners",8,"300 N Greene St",Greensboro,"Guilford County",NC,27401,"Jacob Withers",2023-04-29T19:47:55+00:00
176937,"Nisbet Oil Company",20,"1818 Baxter St",Charlotte,,NC,28204,"Jacob Withers",2023-04-29T18:42:04+00:00
